DEFSTRING(CARDTEXT_DESC_FIRST_CARD,	"")
DEFSTRING(CARDTEXT_DESC_ANGEL,	"If you are of good alignment, you gain one life. If you are evil, you lose one life. There is no effect if you are neutral. The Angel then departs to the discard pile.")
DEFSTRING(CARDTEXT_DESC_BLIZZARD,	"Winter has come with a vengeance and a Blizzard envelops the land. For two rounds, all characters, no matter what Region they are in, may only move one space per turn. The Blizzard then abates to the discard pile.")
DEFSTRING(CARDTEXT_DESC_BOOK_OF_SPELLS,	"You have found the fabled Book of Spells. You gain your full complement of Spells, according to your current Craft. The Book then vanishes to the discard pile.")
DEFSTRING(CARDTEXT_DESC_DEVIL,	"You are visited by a Devil. If you are of evil alignment, you gain 1 life. If you are good, you lose 1 life. There is no effect if you are neutral. The Devil then departs.")
DEFSTRING(CARDTEXT_DESC_EVIL_DARKNESS,	"An Evil Darkness from the nether worlds sweeps the land. All characters except those of evil alignment must miss one turn. The Darkness then vanishes to the discard pile.")
DEFSTRING(CARDTEXT_DESC_IMP,	"You meet a mischievous Imp.\nRoll one die to determine where he teleports you:\n1) Crags      2) Forest\n3) Tavern       4) Ruins\n5) Hidden Valley   6) Cursed Glade\nThe Imp then teleports himself off to the discard pile.")
DEFSTRING(CARDTEXT_DESC_MAGICAL_VORTEX,	"A Magical Vortex absorbs all Spells from every character. Each character's Spells and the Magical Vortex are discarded.")
DEFSTRING(CARDTEXT_DESC_MARKET_DAY,	"It's Market Day across the land.\nClockwise starting with yourself, all characters may immediately buy available Objects at these prices:\n\n   Sword 1G           Shield 2G         \n   Helmet 1G          Water Bottle 1G\nMule 2G              Raft 3G         \n\nMarket Day then packs off to the discard pile.")
DEFSTRING(CARDTEXT_DESC_MEPHISTOPHELES,	"You have been encountered by Mephistopheles on a mission to this land. If you are evil, gain 1 Craft. If you are good or neutral, he converts you to evil. He then returns to his own dark kingdom.")
DEFSTRING(CARDTEXT_DESC_PESTILENCE,	"Pestilence has befouled this Region. All characters in this Region must lose 1 life. The Pestilence then vanishes to the discard pile.")
DEFSTRING(CARDTEXT_DESC_RAIDERS,	"A band of Raiders attacks you and steals all your gold. They immediately stash the gold at the Oasis and retreat to their hide-out.")
DEFSTRING(CARDTEXT_DESC_SIREN,	"A Siren's song can be heard throughout the Region. All characters in this Region must miss their next turn. The Siren's song then fades to the discard pile.")
DEFSTRING(CARDTEXT_DESC_STORM,	"A Storm sweeps through this Region. All characters in this Region must miss 1 turn. The Storm then abates to the discard pile.")

DEFSTRING(CARDTEXT_DESC_FIRST_ENEMY,	"")
DEFSTRING(CARDTEXT_DESC_WILD_BOAR,	"%s\nThere is a Wild Boar roaming this area. It will remain here until it is killed.")
DEFSTRING(CARDTEXT_DESC_WOLF,		"%s\nA vicious Wolf now dwells in this area. It will remain here until it is killed.")
DEFSTRING(CARDTEXT_DESC_APE,		"%s\nA savage Ape is terrorising this area.  It will remain here until it is killed.")
DEFSTRING(CARDTEXT_DESC_BEAR,		"%s\nA ferocious Bear is running amok in this area. It will remain here until killed.")
DEFSTRING(CARDTEXT_DESC_LION,		"%s\nA Lion is preying on everything in this area. It will remain here until it is killed.")
DEFSTRING(CARDTEXT_DESC_SERPENT,	"%s\nA Serpent has made its home in this area. It will remain here until it is killed.")

DEFSTRING(CARDTEXT_DESC_DRAGON,		"%s\nA fearsome Dragon is terrorising this area. It will remain here until it is killed.")
DEFSTRING(CARDTEXT_DESC_GOBLIN,		"%s\nA Goblin is laying waste to this area. It will remain here until it is killed.")
DEFSTRING(CARDTEXT_DESC_HOBGOBLIN,	"%s\nA brutal Hobgoblin is stalking this area. It will remain here until it is killed.")
DEFSTRING(CARDTEXT_DESC_BANDIT,		"%s\nA Bandit is marauding in this area. He will not attack if you pay 1 gold. He will remain here until he is killed.")
DEFSTRING(CARDTEXT_DESC_OGRE,		"%s\nAn Ogre has decided this area is easy pickings. It will remain here until it is killed.")
DEFSTRING(CARDTEXT_DESC_GIANT,		"%s\nAn immense Giant has set up residence in this area. He will remain here until he is killed.")
DEFSTRING(CARDTEXT_DESC_DOPPELGANGER, "%s\nThe Doppelganger always has the same total Strength as its opponent, including any bonuses. If you kill it, gain 1 Strength, but you must discard\nit instead of taking it as a trophy. It will remain here until it is killed.")

DEFSTRING(CARDTEXT_DESC_LEMURE,		"%s\nThis lowly creature from the Underworld pounces at you from the shadows. It will remain here until it is killed.")
