DEFSTRING(CARDTEXT_DESC_CRAFT,					"Cast on yourself at the start of your turn. Gain 1 Craft.")
DEFSTRING(CARDTEXT_DESC_DIVINE_INTERVENTION,	"Cast when you are defeated in battle or psychic combat. The attack is considered a stand-off instead.")
DEFSTRING(CARDTEXT_DESC_FINGER_OF_DEATH,		"Cast on any character or creature who you are about to engage in battle.\n\nIf cast on a character, they lose 2 lives. If cast on a creature, it is killed.\n\nEnemies killed may be taken as trophies.")
DEFSTRING(CARDTEXT_DESC_MAGIC_PORTAL_SPELL,		"Cast at the start of your turn, before you move. Roll 1 die to determine where the Magic Portal leads to:\n\n1) Crags             2) Village     \n3) City                4) Castle     \n5) Temple     6) Warlock's Cave\n\nYou may move to this space instead of taking your normal move.")
DEFSTRING(CARDTEXT_DESC_MAGIC_SHELL,			"Cast on yourself at the start or end of your turn. No Spells or Magic Objects will affect you until the start of your next turn, including the Command Spell. However, you cannot cast any Spells or use any Magic Objects until the start of your next turn.")
DEFSTRING(CARDTEXT_DESC_RESTORATION,			"Cast as required, on any character or Follower, to prevent a character from losing a life or a Follower from being killed.")
DEFSTRING(CARDTEXT_DESC_SPELL_CALL,				"Cast immediately after any character casts a Spell. Instead of placing the Spell on the discard pile, you may take it.")
DEFSTRING(CARDTEXT_DESC_STRENGTH,				"Cast on yourself at the start of your turn. Gain 1 Strength.")
DEFSTRING(CARDTEXT_DESC_SUMMON_STORM,			"Cast at any time during your turn on any space in your Region.\n\nDiscard all Enemy Animals and Monsters on the space.")
DEFSTRING(CARDTEXT_DESC_TEMPORAL_VORTEX,		"Cast at the start of your turn, before you move. You may take 2 successive turns before play passes to the next player.\n\nIf you are instructed to lose your turn you may cast this Spell to cancel the loss, instead of the Spell's normal effect.")
DEFSTRING(CARDTEXT_DESC_TWIST_OF_FATE,			"Cast after you pay a fate but before you reroll the die.\nYou choose which die result you will use instead of rerolling it.")
DEFSTRING(CARDTEXT_DESC_WEAKNESS,				"Cast at any time on a character or creature. The target's Strength is lowered by 3 until the end of the turn.\n\nA character's Strength may not be lowered below their Strength value.")
DEFSTRING(CARDTEXT_DESC_LONE_DWARF_ENEMY,		"%s")
DEFSTRING(CARDTEXT_DESC_BOARD_GUARD_ROOM_ENEMY, "%s")
DEFSTRING(CARDTEXT_DESC_SUMMONED_HOUND,			"The Hound may fight in your place with a Strength of 3.\n\nIf the Hound wins, the creature is killed or the opposing character must lose 1 life. If the Hound loses, it is killed and your turn immediately ends. Enemies killed may be taken as trophies.")
DEFSTRING(CARDTEXT_DESC_LORD_OF_DARKNESS,		"%s")
