DEFSTRING(CARDTEXT_NAME_BLOOD_SUCKER,	"Blood Sucker")
DEFSTRING(CARDTEXT_DESC_BLOOD_SUCKER,	"%s\nIf you are defeated by the Blood Sucker, in addition to losing 1 life, you lose 1 Strength. If you defeat the Blood Sucker, gain 1 Strength in addition to your normal reward.")
DEFSTRING(CARDTEXT_NAME_HUSH,			"Hush")
DEFSTRING(CARDTEXT_DESC_HUSH,			"%s\nYou cannot cast Spells whilst in psychic combat with the Hush.")
DEFSTRING(CARDTEXT_NAME_NIGHT_HAG,		"Night Hag")
DEFSTRING(CARDTEXT_DESC_NIGHT_HAG,		"%s\nIf defeated by the Night Hag, in addition to losing 1 life, you are immediately teleported to your starting space, your turn ends and you must miss your next turn.")
DEFSTRING(CARDTEXT_NAME_SOUL_SUCKER,	"Soul Sucker")
DEFSTRING(CARDTEXT_DESC_SOUL_SUCKER,	"%s\nIf you are defeated by the Soul Sucker, in addition to losing 1 life, you lose 1 Craft. If you defeat the Soul Sucker, gain 1 Craft in addition to your normal reward.")
DEFSTRING(CARDTEXT_NAME_TWISTED_LEECH,	"Twisted Leech")
DEFSTRING(CARDTEXT_DESC_TWISTED_LEECH,	"%s\nThe Leech adds 1 to its attack roll for each life you have less than your life value. It subtracts 1 from its attack roll for each life you have greater than your life value.")
DEFSTRING(CARDTEXT_NAME_WHITE_FUNGUS,	"White Fungus")
DEFSTRING(CARDTEXT_DESC_WHITE_FUNGUS,	"%s\nThe White Fungus adds 3 to its attack roll if you are a Ghost character.")

DEFSTRING(CARDTEXT_NAME_GREAT_WIZARD, "Great Wizard")
DEFSTRING(CARDTEXT_DESC_GREAT_WIZARD, "")
DEFSTRING(CHARACTER_CARD_GREAT_WIZARD, "SPECIAL ABILITIES\n\n\
You begin the game with 2 Spells.\n\n\
During the game, you always have at least 1 Spell.\n(Gain a Spell each time you cast your last Spell).\n\n\
When you kill a Spirit in psychic combat, you may capture it instead of taking it as a trophy. Captured Spirits add their Craft to yours in psychic combat, after which they depart to the discard pile. You may use any number of captured Spirits during a psychic combat.\n\n\
Start: Ruins            Alignment: Neutral")

DEFSTRING(CARDTEXT_NAME_ABOMINATION_WRAITH_SP, "Abomination Wraith")
DEFSTRING(CARDTEXT_DESC_ABOMINATION_WRAITH_SP, "%s\nThe combined souls of a thousand dead, eager to add more to their multitude. The Abomination Wraith rolls 3 dice and adds them together for its attack roll. If you defeat the Wraith, gain 2 life instead of your normal reward.")
DEFSTRING(CARDTEXT_NAME_SOUL_DRAGON, "Soul Dragon")
DEFSTRING(CARDTEXT_DESC_SOUL_DRAGON, "%s\nYou may not use Armour or Weapons, cast Spells, or spend fate while in psychic combat with the Soul Dragon.")
DEFSTRING(CARDTEXT_NAME_CHILL_WRAITH_SP, "Chill Wraith")
DEFSTRING(CARDTEXT_DESC_CHILL_WRAITH_SP, "%s\nIf you are defeated, in addition to losing 1 life, you must miss your next turn.")
DEFSTRING(CARDTEXT_NAME_GLIMMER_SP, "Glimmer")
DEFSTRING(CARDTEXT_DESC_GLIMMER_SP, "%s\nThe Glimmer appears in a bright flash and attacks before you have a chance to react. You may not roll a die for your attack roll.")
DEFSTRING(CARDTEXT_NAME_NIGHTMARE_SP, "Nightmare")
DEFSTRING(CARDTEXT_DESC_NIGHTMARE_SP, "%s\nThe Nightmare always has the same total Craft as its opponent, including any bonuses. If you kill it, gain 1 Craft, instead of your normal reward. It will remain here until it is killed.")
DEFSTRING(CARDTEXT_NAME_TENTACLE_THING, "Many-Faced Shade")
DEFSTRING(CARDTEXT_DESC_TENTACLE_THING, "%s\nThe Many-Faced Shade adds 1 to its attack roll for each other card on this space.")
DEFSTRING(CARDTEXT_NAME_GUG, "Mawbeast")
DEFSTRING(CARDTEXT_DESC_GUG, "%s\nThe Mawbeast lets out a blood-chilling scream before it attacks.")
DEFSTRING(CARDTEXT_NAME_HOLLOW_GAUNT, "Hollow Gaunt")
DEFSTRING(CARDTEXT_DESC_HOLLOW_GAUNT, "%s\nThe Hollow Gaunt fills beings who enter this area with a bone-chilling dread.")
DEFSTRING(CARDTEXT_NAME_HARROW, "Harrow")
DEFSTRING(CARDTEXT_DESC_HARROW, "%s\nWhen revealed every character in every Region must ditch 1 Follower.")
DEFSTRING(CARDTEXT_NAME_DULLAHAN, "Dullahan")
DEFSTRING(CARDTEXT_DESC_DULLAHAN, "%s\nYou may not pay fate to reroll dice during psychic combat with the Dullahan. If defeated, in addition to losing 1 life, lose all of your fate.")
DEFSTRING(CARDTEXT_NAME_CRAWLING_HAND_SP, "Crawling Hand")
DEFSTRING(CARDTEXT_DESC_CRAWLING_HAND_SP, "%s\nIf you do not kill the Crawling Hand, roll 1 die and move it that number of spaces clockwise.")
DEFSTRING(CARDTEXT_NAME_KING_OF_THE_DEAD, "King of the Dead")
DEFSTRING(CARDTEXT_DESC_KING_OF_THE_DEAD, "%s\nYou have come face to face with the legendary King of the Dead. Before you encounter the King of the Dead, if you are not a Ghost character you are killed.\n\
You must attack King of the Dead in either battle or psychic combat.\n\
If you defeat King of the Dead you may move to the Crown of Command, heal all of your lives and you are Resurrected.")
DEFSTRING(CARDTEXT_NAME_BRIGHT_LIGHT,	"Bright Light")
DEFSTRING(CARDTEXT_DESC_BRIGHT_LIGHT,	"A light on the horizon is calling you. For 2 rounds (including this turn) all Ghost characters may add 1 to their movement roll. Then the Light dims to the discard pile.")
DEFSTRING(CARDTEXT_NAME_RISING_MISTS,	"Rising Mists")
DEFSTRING(CARDTEXT_DESC_RISING_MISTS,	"A thick mist lingers across the realms. For 3 rounds all Spirits add 1 to their attack score. Then a strong breeze pushes the Rising Mist to the discard pile.")
DEFSTRING(CARDTEXT_NAME_FOGGY_NIGHTS,	"Foggy Nights")
DEFSTRING(CARDTEXT_DESC_FOGGY_NIGHTS,	"Night lingers on and fog hangs thick across the hills. For 2 rounds after drawing Adventure Cards, a character must draw 1 Veil Card and add it to the space. Then after a strong rain the fog dissipates to the discard pile.")
DEFSTRING(CARDTEXT_NAME_CHILLING_WINDS,	"Chilling Winds")
