EFSTRING(MSG_DRAGON_KING, "Dragon King")

DEFSTRING(MSG_DRAGON_SLUMBER, "Dragon Slumber")
DEFSTRING(MSG_DRAGON_RAGE, "Dragon Rage")
DEFSTRING(MSG_DRAGON_STRIKE, "Dragon Strike")
DEFSTRING(MSG_DRAGON_SLEEP_TOKEN, "Sleep Token")
DEFSTRING(MSG_DRAGON_LORDS, "Draconic Lord")

DEFSTRING(CARDTEXT_NAME_EMPTY_TOKEN_CARD,				"")
DEFSTRING(CARDTEXT_DESC_EMPTY_TOKEN_CARD,				"Token")

DEFSTRING(SPACETITLE_VAMPIRIC_DRAGON, "Vampiric Dragon")
DEFSTRING(SPACETITLE_DRAGONSTONE_MINES, "Dragonstone Mines")
DEFSTRING(SPACETITLE_PLAIN_OF_PERIL, "Plain of Peril")
DEFSTRING(SPACETITLE_DRAGONBONE_CRYPT, "Dragonbone Crypt")
DEFSTRING(SPACETITLE_COVETOUS_DRAGON, "Covetous Dragon")
DEFSTRING(SPACETITLE_HYDRA_DRAGON, "Hydra Dragon")
DEFSTRING(SPACETITLE_VALLEY_OF_FIRE, "Valley of Fire")
DEFSTRING(SPACETITLE_DRAGON_HATCHERY, "Dragon Hatchery")
DEFSTRING(SPACETITLE_CROWN_OF_COMMAND, "Crown of Command")
DEFSTRING(MSG_CURRENT_ENDING, "Ending")
DEFSTRING(SPACETITLE_DRAGON_TOWER_146, "Dragon Tower")
DEFSTRING(SPACETITLE_DRAGON_TOWER_147, "Dragon Tower")
DEFSTRING(SPACETITLE_DRAGON_TOWER_148, "Dragon Tower")
DEFSTRING(SPACETITLE_DRAGON_TOWER_149, "Dragon Tower")
DEFSTRING(SPACETITLE_DRAGON_TOWER_150, "Dragon Tower")
DEFSTRING(SPACETITLE_PLAIN_OF_PERIL_151, "Plain of Peril")
DEFSTRING(SPACETITLE_DRAGON_TOWER_152, "Dragon Tower")
DEFSTRING(SPACETITLE_DRAGON_TOWER_153, "Dragon Tower")
DEFSTRING(SPACETITLE_DRAGON_TOWER_154, "Dragon Tower")
DEFSTRING(SPACETITLE_DRAGON_TOWER_155, "Dragon Tower")
DEFSTRING(SPACETITLE_DRAGON_TOWER_156, "Dragon Tower")
DEFSTRING(SPACETITLE_DRAGON_TOWER_157, "Dragon Tower")
DEFSTRING(SPACETITLE_DRAGON_TOWER_158, "Dragon Tower")
DEFSTRING(SPACETITLE_CROWN_OF_COMMAND_159, "Crown of Command")
DEFSTRING(SPACETITLE_DRAGON_TOWER_160, "Dragon Tower")
DEFSTRING(SPACETITLE_DRAGON_TOWER_161, "Dragon Tower")
DEFSTRING(SPACEDESC_IF_DEFEATED, "If defeated, move back one space.")
DEFSTRING(PLAIN_OF_PERIL_DRAGON_TOWER, "Move one space per turn plus an additional space for each Enemy you kill.")
DEFSTRING(COC_DRAGON_TOWER, "Confront the Dragon King!")
DEFSTRING(SPACEDESC_VAMPIRIC_DRAGON_1, "Roll 1 die and add 1 to the score for each dragon scale on every Draconic Lord Card to determine how many lives the Dragon takes.\n\
You may kill any number of Followers to avoid this loss of life. Each Follower you kill prevents the loss of 1 life.")
DEFSTRING(SPACEDESC_VAMPIRIC_DRAGON_2, "1-2) Lose 1 life\n3-4) Lose 2 lives\n5-6) Lose 3 lives\n7-8) Lose 4 lives\n9-10) Lose 5 lives\n11+) Lose 6 lives")
DEFSTRING(SPACEDESC_COVETOUS_DRAGON, "Roll 2 dice for yourself and 2 dice for the Dragon.\nIf your score is equal to or lower, discard 1 gold and roll again for yourself and the Dragon next turn.\n\
If you do not have any gold, lose 1 life instead.\nIf your score is higher, you may move on your next turn.")
DEFSTRING(LOG_DICE_WITH_OPPONENT_TOTAL2, "%s's Total: %d.  Opponent's Total: %d.")
DEFSTRING(SPACEDESC_DRAGONBONE_CRYPT_1, "Roll 3 dice and add 1 to the score for each dragon scale on every Draconic Lord Card.\nThen subtract your Craft from the total and move directly to:")
DEFSTRING(SPACEDESC_DRAGONBONE_CRYPT_2, "0) Dragonbone Crypt\n1) Plain of Peril\n2-3) Portal of Power\n4-5) Cursed Glade\n6+) Graveyard")

DEFSTRING(SPACEDESC_DRAGONSTONE_MINES_1, "Roll 3 dice and add 1 to the score for each dragon scale on every Draconic Lord Card.\nThen subtract your Strength from the total and move directly to:")
DEFSTRING(SPACEDESC_DRAGONSTONE_MINES_2, "0) Dragonstone Mines\n1) Plain of Peril\n2-3) Portal of Power\n4-5) Temple\n6+) Chapel")
DEFSTRING(SPACEDESC_DRAGONHATCHERY, "Roll 1 die and fight that many Hatchlings each one-by-one until either you are defeated or you defeat all of the Hatchlings.\n\
Each Hatchling has a Craft of 4 and adds 1 to its attack score for each dragon scale on every Draconic Lord Card.\nYou cannot move on until all Hatchlings are defeated.")
DEFSTRING(SPACEDESC_HYDRA_DRAGON_1, "Roll 2 dice and add 1 to the score for each dragon scale on every Draconic Lord Card to determine the Dragon's Strength, then fight it.")
DEFSTRING(SPACEDESC_HYDRA_DRAGON_2, "If you are defeated, lose 1 life and fight the same Dragon again on your next turn.\nYou cannot move on until you have defeated the Dragon.")
