DEFSTRING(CARDTEXT_ACTIVEDESC_ARMAGEDDON_PROPHECY, "")
DEFSTRING(CARDTEXT_BECOME_OMEN_DESC_ARMAGEDDON_PROPHECY, "")
DEFSTRING(CARDTEXT_OMENFLUFF_ARMAGEDDON_PROPHECY,				"And I saw the gates of heaven open up before me and a being of righteous light descending. To him were granted the seven seals of divine judgment and the scales of cosmic balance. He raised the scales and I saw that evil weighed heavily upon them and knew that the time of judgment was at hand.")
DEFSTRING(CARDTEXT_DESC_ARMAGEDDON_PROPHECY, "And I saw the gates of heaven open up before me and a being of righteous light descending. To him were granted the seven seals of divine judgment and the scales of cosmic balance. He raised the scales and I saw that evil weighed heavily upon them and knew that the time of judgment was at hand.")


DEFSTRING(CARDTEXT_ACTIVEDESC_ARMAGEDDON_FIRST_OMEN,		"Whenever a character defeats another character, they may replenish 1 fate.")
DEFSTRING(CARDTEXT_BECOME_OMEN_DESC_ARMAGEDDON_FIRST_OMEN,	"Each character in the same Region as the Harbinger must lose 1 fate.")
DEFSTRING(CARDTEXT_OMENFLUFF_ARMAGEDDON_FIRST_OMEN,				"The first seal was broken and the deafening sound of thunder drove hope away.")
DEFSTRING(CARDTEXT_DESC_ARMAGEDDON_FIRST_OMEN, "The first seal was broken and the deafening sound of thunder drove hope away.\n\nEach character in the same Region as the Harbinger must lose 1 fate.\n\nWhenever a character defeats another character, they may replenish 1 fate.")


DEFSTRING(CARDTEXT_ACTIVEDESC_ARMAGEDDON_SECOND_OMEN, "Whenever a character defeats another character, they may heal 1 life.")
DEFSTRING(CARDTEXT_BECOME_OMEN_DESC_ARMAGEDDON_SECOND_OMEN, "Each character in the same Region as the Harbinger must lose 1 life.")
DEFSTRING(CARDTEXT_OMENFLUFF_ARMAGEDDON_SECOND_OMEN,				"The second seal was broken and a creature came forth riding on a white horse, and given to him were all of the pestilences of the world.")
DEFSTRING(CARDTEXT_DESC_ARMAGEDDON_SECOND_OMEN, "The second seal was broken and a creature came forth riding on a white horse, and given to him were all of the pestilences of the world.\n\nEach character in the same Region as the Harbinger must lose 1 life.\n\nWhenever a character defeats another character, they may heal 1 life.")


